event_id,match_folder,previous_event_type,previous_event_id,previous_synced_frame_id,time_from_previous_event_s,previous_play_id,previous_play_type,previous_is_cross,previous_passer_id,previous_receiver_id,previous_receiver_is_shooter,reception_id,reception_receiver_id,reception_synced_frame_id,time_from_reception_s,reception_pressure,previous_start_x,previous_start_y,previous_end_x,previous_end_y,previous_carry_id,previous_carry_player_id,previous_carry_distance_m,previous_carry_start_x,previous_carry_start_y,previous_carry_end_x,previous_carry_end_y,previous_carry_end_synced_frame_id,time_from_previous_carry_end_s,family,router_reason
18902400000023,Bayern_Hamburg,Reception,18902409900019,10794,67.2,18902400000019,pass,false,DFL-OBJ-0002F5,DFL-OBJ-J01R3R,True,18902409900019,DFL-OBJ-J01R3R,10794,67.2,0.74,22.43,24.93,-39.45,22.24,18902409800013,DFL-OBJ-J02322,11.39,5.19,26.09,15.45,27.02,10476,79.92,dead_ball,previous_receiver_is_shooter
18902400000048,Bayern_Hamburg,Carry,18902409800048,13942,1.88,18902400000047,pass,false,DFL-OBJ-0027T1,DFL-OBJ-0027G6,True,18902409900047,DFL-OBJ-0027G6,13942,1.88,0.0,-42.71,31.21,-38.69,19.69,18902409800048,DFL-OBJ-0027G6,7.23,-38.69,19.69,-45.07,17.16,13989,0.0,carry_self_created,previous_receiver_is_shooter
18902400000172,Bayern_Hamburg,Reception,18902409900170,23244,0.16,18902400000170,pass,false,DFL-OBJ-J00ZZ3,DFL-OBJ-J01KAH,True,18902409900170,DFL-OBJ-J01KAH,23244,0.16,0.55,-37.41,15.35,-44.71,8.21,18902409800160,DFL-OBJ-J01R3R,7.47,-29.18,26.62,-23.09,29.46,22863,15.4,open_play,previous_receiver_is_shooter
18902400000231,Bayern_Hamburg,Carry,18902409800231,28575,2.52,18902400000229,pass,false,DFL-OBJ-J00ZZ3,DFL-OBJ-J01R3R,True,18902409900229,DFL-OBJ-J01R3R,28575,2.52,0.03,-23.08,9.28,-28.07,12.87,18902409800231,DFL-OBJ-J01R3R,16.43,-28.07,12.87,-35.44,-1.25,28638,0.0,carry_self_created,previous_receiver_is_shooter
18902400000339,Bayern_Hamburg,Carry,18902409800339,36101,6.48,18902400000338,pass,false,DFL-OBJ-J01IZ9,DFL-OBJ-J01N5U,True,18902409900338,DFL-OBJ-J01N5U,36101,6.48,0.12,-13.46,-13.32,20.55,-30.04,18902409800339,DFL-OBJ-J01N5U,37.5,20.55,-30.04,42.05,-6.56,36263,0.0,carry_self_created,previous_receiver_is_shooter
18902400000398,Bayern_Hamburg,Carry,18902409800398,41353,4.64,18902400000397,pass,false,DFL-OBJ-J00ZZ3,DFL-OBJ-J01DA7,True,18902409900397,DFL-OBJ-J01DA7,41353,4.64,0.03,3.76,-12.12,-27.64,-23.90,18902409800398,DFL-OBJ-J01DA7,29.4,-27.64,-23.90,-51.70,-8.14,41469,0.0,carry_self_created,previous_receiver_is_shooter
18902400000439,Bayern_Hamburg,Carry,18902409800439,50092,4.0,18902400000438,pass,false,DFL-OBJ-J01HP7,DFL-OBJ-002G8B,True,18902409900438,DFL-OBJ-002G8B,50092,4.0,0.0,-0.37,19.53,19.25,20.12,18902409800439,DFL-OBJ-002G8B,23.79,19.25,20.12,40.30,14.64,50192,0.0,carry_self_created,previous_receiver_is_shooter
18902400000444,Bayern_Hamburg,Reception,18902409900441,51509,2.68,18902400000441,corner,true,DFL-OBJ-J01FRO,DFL-OBJ-J00ZZ3,False,18902409900441,DFL-OBJ-J00ZZ3,51509,2.68,1.52,51.24,33.26,46.25,3.49,18902409800439,DFL-OBJ-002G8B,23.79,19.25,20.12,40.30,14.64,50192,55.36,header,previous_cross
18902400000451,Bayern_Hamburg,Reception,18902409900450,52303,1.28,18902400000450,pass,false,DFL-OBJ-0002F5,DFL-OBJ-J01DA7,True,18902409900450,DFL-OBJ-J01DA7,52303,1.28,0.11,-16.32,-12.46,-27.74,-13.75,18902409800447,DFL-OBJ-J01DA7,11.28,-7.28,-24.30,-11.13,-14.40,51919,16.64,dead_ball,previous_receiver_is_shooter
18902400000468,Bayern_Hamburg,Reception,18902409900467,55305,0.12,18902400000467,free_kick,true,DFL-OBJ-J01FRO,DFL-OBJ-J01G5F,True,18902409900467,DFL-OBJ-J01G5F,55305,0.12,1.14,25.89,-26.99,37.87,-4.44,18902409800462,DFL-OBJ-J01N5U,11.79,31.92,-27.60,39.72,-22.84,54262,41.84,dead_ball,previous_cross|previous_receiver_is_shooter
18902400000477,Bayern_Hamburg,Carry,18902409800477,56005,1.48,18902400000476,pass,false,DFL-OBJ-0027T1,DFL-OBJ-J01DA7,True,18902409900476,DFL-OBJ-J01DA7,56005,1.48,0.0,-27.89,18.37,-38.06,-9.98,18902409800477,DFL-OBJ-J01DA7,6.8,-38.06,-9.98,-44.70,-8.80,56042,0.0,carry_self_created,previous_receiver_is_shooter
18902400000508,Bayern_Hamburg,Reception,18902409900507,58869,0.08,18902400000507,play,true,DFL-OBJ-0027T1,DFL-OBJ-0027G6,True,18902409900507,DFL-OBJ-0027G6,58869,0.08,0.06,-29.37,19.03,-42.76,-15.09,18902409800504,DFL-OBJ-0002F5,5.24,-17.18,-1.63,-20.39,2.27,58680,7.64,cutback,previous_cross|previous_receiver_is_shooter|router_cutback
18902400000546,Bayern_Hamburg,Reception,18902409900544,62588,0.16,18902400000544,pass,false,DFL-OBJ-J01FRO,DFL-OBJ-J01H5G,True,18902409900544,DFL-OBJ-J01H5G,62588,0.16,0.91,17.76,-2.58,40.28,-11.40,18902409800529,DFL-OBJ-J01N5U,25.97,43.12,-14.31,49.98,-32.78,60610,79.28,header,previous_receiver_is_shooter
18902400000599,Bayern_Hamburg,Reception,18902409900597,66751,2.32,18902400000597,pass,false,DFL-OBJ-J01H5G,DFL-OBJ-0027G6,False,18902409900597,DFL-OBJ-0027G6,66751,2.32,0.09,-0.46,9.96,-2.79,10.97,18902409800597,DFL-OBJ-J01H5G,6.08,4.55,6.62,-0.46,9.96,66748,2.44,long_range,previous_play_context
18902400000614,Bayern_Hamburg,Reception,18902409900613,68031,0.8,18902400000613,pass,false,DFL-OBJ-J01DA7,DFL-OBJ-0027G6,True,18902409900613,DFL-OBJ-0027G6,68031,0.8,0.01,-32.01,-18.38,-28.86,1.87,18902409800612,DFL-OBJ-002GIC,38.44,20.88,-30.62,-14.94,-19.27,67948,4.12,open_play,previous_receiver_is_shooter
18902400000655,Bayern_Hamburg,Reception,18902409900653,70768,0.08,18902400000653,pass,false,DFL-OBJ-J00ZZ3,DFL-OBJ-J01R3R,True,18902409900653,DFL-OBJ-J01R3R,70768,0.08,0.18,-43.5,2.53,-34.57,1.92,18902409800642,DFL-OBJ-0027T1,17.01,-13.15,23.80,-28.47,23.02,70276,19.76,open_play,previous_receiver_is_shooter
18902400000744,Bayern_Hamburg,Carry,18902409800744,77587,1.56,18902400000743,pass,false,DFL-OBJ-0027T1,DFL-OBJ-0002F5,True,18902409900743,DFL-OBJ-0002F5,77587,1.56,0.0,-24.84,26.15,-36.03,13.14,18902409800744,DFL-OBJ-0002F5,7.24,-36.03,13.14,-43.07,13.30,77626,0.0,carry_self_created,previous_receiver_is_shooter
18902400000773,Bayern_Hamburg,Carry,18902409800773,80259,1.76,18902400000772,pass,false,DFL-OBJ-0002F5,DFL-OBJ-0027T1,True,18902409900772,DFL-OBJ-0027T1,80259,1.76,0.0,-12.91,20.9,-30.48,15.20,18902409800773,DFL-OBJ-0027T1,11.49,-30.48,15.20,-41.38,11.75,80303,0.0,carry_self_created,previous_receiver_is_shooter
18902400000865,Bayern_Hamburg,Carry,18902409800865,102623,2.2,18902400000864,pass,false,DFL-OBJ-J01G5F,DFL-OBJ-J01N5U,True,18902409900864,DFL-OBJ-J01N5U,102623,2.2,0.0,27.55,0.95,-18.12,18.99,18902409800865,DFL-OBJ-J01N5U,18.76,-18.12,18.99,-36.03,13.46,102678,0.0,carry_self_created,previous_receiver_is_shooter
18902400001042,Bayern_Hamburg,Reception,18902409901041,116530,0.96,18902400001041,pass,false,DFL-OBJ-J01KLU,DFL-OBJ-J01R3R,True,18902409901041,DFL-OBJ-J01R3R,116530,0.96,0.14,42.29,-20.1,33.26,-13.82,18902409801041,DFL-OBJ-J01KLU,8.36,40.02,-26.02,42.29,-20.10,116511,1.72,long_range,previous_receiver_is_shooter
18902400001163,Bayern_Hamburg,Carry,18902409801163,124383,1.4,18902400001162,pass,false,DFL-OBJ-J01R3R,DFL-OBJ-J00ZZ3,True,18902409901162,DFL-OBJ-J00ZZ3,124383,1.4,0.56,36.99,-12.53,37.21,-1.48,18902409801163,DFL-OBJ-J00ZZ3,5.32,37.21,-1.48,40.90,-4.76,124418,0.0,carry_self_created,previous_receiver_is_shooter
18902400001197,Bayern_Hamburg,Carry,18902409801197,131217,4.28,18902400001196,pass,false,DFL-OBJ-0002F5,DFL-OBJ-J01UD5,True,18902409901196,DFL-OBJ-J01UD5,131217,4.28,0.37,20.48,-19.11,25.36,-31.41,18902409801197,DFL-OBJ-J01UD5,24.7,25.36,-31.41,29.20,-11.73,131324,0.0,carry_self_created,previous_receiver_is_shooter
18902400001288,Bayern_Hamburg,Reception,18902409901287,138502,0.16,18902400001287,pass,false,DFL-OBJ-0002F5,DFL-OBJ-J01KLU,True,18902409901287,DFL-OBJ-J01KLU,138502,0.16,0.35,38.34,-11.84,45.71,-14.26,18902409801277,DFL-OBJ-J01KLU,9.2,29.04,-14.89,21.93,-20.26,138102,16.16,open_play,previous_receiver_is_shooter
18902400001294,Bayern_Hamburg,Reception,18902409901291,138685,1.2,18902400001291,pass,false,DFL-OBJ-J01R3R,DFL-OBJ-J01G5F,False,18902409901291,DFL-OBJ-J01G5F,138685,1.2,0.91,47.91,6.04,48.82,2.89,18902409801290,DFL-OBJ-0002F5,9.35,44.46,-12.59,51.49,-18.51,138620,3.8,header,previous_play_context
18902400001301,Bayern_Hamburg,Carry,18902409801301,139472,2.24,18902400001300,pass,false,DFL-OBJ-J01W6J,DFL-OBJ-J01FRO,True,18902409901300,DFL-OBJ-J01FRO,139472,2.24,0.0,-8.66,-7.68,-27.78,-16.63,18902409801301,DFL-OBJ-J01FRO,17.86,-27.78,-16.63,-44.43,-10.38,139528,0.0,carry_self_created,previous_receiver_is_shooter
18902400001348,Bayern_Hamburg,Reception,18902409901341,143065,78.28,18902400001341,pass,false,DFL-OBJ-002GIC,DFL-OBJ-J01UD5,False,18902409901341,DFL-OBJ-J01UD5,143065,78.28,0.31,-2.28,9.72,7.97,-3.51,18902409801324,DFL-OBJ-J01K2F,22.99,-16.39,20.05,2.75,20.18,142359,106.52,dead_ball,previous_play_context
18902400001476,Bayern_Hamburg,Reception,18902409901474,154450,0.16,18902400001474,play,true,DFL-OBJ-J01W6J,DFL-OBJ-0027HO,True,18902409901474,DFL-OBJ-0027HO,154450,0.16,1.18,-52.26,-18.99,-46.88,4.52,18902409801474,DFL-OBJ-J01W6J,15.95,-40.43,-28.95,-52.26,-18.99,154412,1.68,header,previous_cross|previous_receiver_is_shooter
18902400001555,Bayern_Hamburg,Reception,18902409901554,159710,0.12,18902400001554,pass,false,DFL-OBJ-0027T1,DFL-OBJ-J01UD5,True,18902409901554,DFL-OBJ-J01UD5,159710,0.12,0.66,39.11,2.6,36.74,-6.66,18902409801554,DFL-OBJ-0027T1,5.93,42.37,6.57,39.11,2.60,159691,0.88,open_play,previous_receiver_is_shooter
18902400001621,Bayern_Hamburg,Reception,18902409901620,166363,1.04,18902400001620,pass,false,DFL-OBJ-0002F5,DFL-OBJ-J01R3R,True,18902409901620,DFL-OBJ-J01R3R,166363,1.04,0.08,27.54,16.24,34.63,16.04,18902409801613,DFL-OBJ-J01KLU,9.25,36.24,10.15,33.68,17.12,166069,12.8,open_play,previous_receiver_is_shooter
18902400001669,Bayern_Hamburg,Reception,18902409901665,169679,0.12,18902400001665,pass,false,DFL-OBJ-J01HP7,DFL-OBJ-0027HO,True,18902409901665,DFL-OBJ-0027HO,169679,0.12,0.83,-9.73,-18.84,-41.94,9.66,18902409801633,DFL-OBJ-J01UD5,23.31,22.74,-25.70,31.62,-8.28,167617,82.6,dead_ball,previous_receiver_is_shooter
